1,6,660.2,236.8,48.9,39.3,-1,-1,-1,-1
1,2,1029.5,361.6,113.8,73.4,-1,-1,-1,-1
2,6,663.2,239.9,49.5,40.2,-1,-1,-1,-1
2,2,1012.5,350.7,107.2,71.0,-1,-1,-1,-1
2,1,718.9,330.9,75.1,80.7,-1,-1,-1,-1
3,6,667.0,242.0,48.6,40.2,-1,-1,-1,-1
3,2,996.0,343.0,99.6,66.5,-1,-1,-1,-1
3,1,726.5,309.5,78.4,84.9,-1,-1,-1,-1
4,6,671.7,245.6,47.7,40.4,-1,-1,-1,-1
4,2,978.9,334.2,93.9,63.0,-1,-1,-1,-1
4,1,732.4,305.0,79.9,88.5,-1,-1,-1,-1
5,6,676.2,249.8,47.5,41.3,-1,-1,-1,-1
5,2,963.9,325.6,89.5,60.0,-1,-1,-1,-1
5,1,738.1,305.3,82.3,92.8,-1,-1,-1,-1
6,6,679.2,253.4,47.2,41.2,-1,-1,-1,-1
6,2,948.3,316.8,85.5,58.3,-1,-1,-1,-1
6,1,744.0,307.3,83.1,96.3,-1,-1,-1,-1
7,6,682.6,257.4,47.6,41.5,-1,-1,-1,-1
7,2,935.4,310.1,81.3,55.5,-1,-1,-1,-1
7,1,747.4,308.4,84.6,101.8,-1,-1,-1,-1
8,6,685.3,260.4,48.5,42.5,-1,-1,-1,-1
8,2,925.0,305.4,77.7,52.9,-1,-1,-1,-1
8,1,749.8,309.6,87.2,107.2,-1,-1,-1,-1
9,6,689.7,262.9,49.9,43.7,-1,-1,-1,-1
9,2,921.1,309.1,73.4,51.9,-1,-1,-1,-1
9,1,752.4,325.3,89.0,102.4,-1,-1,-1,-1
10,6,692.6,265.6,50.4,45.7,-1,-1,-1,-1
10,2,907.5,304.3,73.4,52.5,-1,-1,-1,-1
10,1,756.2,330.9,91.7,102.8,-1,-1,-1,-1
11,6,694.9,270.5,51.8,46.9,-1,-1,-1,-1
11,2,895.8,299.5,68.7,51.3,-1,-1,-1,-1
11,1,760.3,338.0,93.4,103.0,-1,-1,-1,-1
12,6,697.9,274.7,52.4,47.7,-1,-1,-1,-1
12,2,882.0,284.2,65.3,48.5,-1,-1,-1,-1
12,1,764.8,335.6,95.2,109.7,-1,-1,-1,-1
13,6,701.8,278.9,53.4,47.7,-1,-1,-1,-1
13,2,869.5,275.3,62.8,45.7,-1,-1,-1,-1
13,1,768.4,343.2,96.1,112.6,-1,-1,-1,-1
14,6,705.6,283.2,54.0,48.0,-1,-1,-1,-1
14,2,859.2,268.3,60.2,43.9,-1,-1,-1,-1
14,1,771.0,349.8,98.3,115.6,-1,-1,-1,-1
